"inc_code","category","subcategory"
"19040","disorderly conduct","disorderly conduct"
"19050","disorderly conduct","disorderly conduct"
"19051","disorderly conduct","disorderly conduct"
"19053","disorderly conduct","intimidation"
"19055","disorderly conduct","intimidation"
"19057","disorderly conduct","intimidation"
"19058","disorderly conduct","disorderly conduct"
"19060","disorderly conduct","loitering"
"19062","disorderly conduct","loitering"
"19065","disorderly conduct","loitering"
"19070","disorderly conduct","loitering"
"19071","disorderly conduct","loitering"
"19072","disorderly conduct","loitering"
"19075","disorderly conduct","loitering"
"19076","disorderly conduct","loitering"
"19077","disorderly conduct","loitering"
"19078","disorderly conduct","loitering"
"19080","disorderly conduct","intimidation"
"19081","disorderly conduct","disorderly conduct"
"19082","disorderly conduct","trespass"
"19083","disorderly conduct","weapons offense"
"19084","disorderly conduct","other"
"19086","disorderly conduct","other"
"19087","disorderly conduct","trespass"
"19088","disorderly conduct","loitering"
"19089","disorderly conduct","other"
"19090","disorderly conduct","drunkenness"
"19095","disorderly conduct","drug violation"
"19100","disorderly conduct","loitering"
"19400","disorderly conduct","other"
"26010","other miscellaneous","other"
"26020","other miscellaneous","other"
"26028","other miscellaneous","other"
"26029","arson","arson"
"26030","arson","arson"
"26031","arson","arson"
"26032","arson","arson"
"26033","arson","arson"
"26034","arson","arson"
"26035","arson","arson"
"26036","arson","arson"
"26037","arson","arson"
"26038","arson","arson"
"26039","arson","arson"
"26040","other miscellaneous","extortion-blackmail"
"26050","other miscellaneous","bribery"
"26060","other miscellaneous","bribery"
"26061","other miscellaneous","bribery"
"26062","other miscellaneous","bribery"
"26063","other miscellaneous","other"
"26070","other miscellaneous","kidnapping"
"26080","other miscellaneous","other"
"26090","other miscellaneous","other"
"26095","other miscellaneous","other"
"26100","other miscellaneous","extortion-blackmail"
"26105","other miscellaneous","other"
"26110","other miscellaneous","other"
"26120","other miscellaneous","other"
"26130","other miscellaneous","extortion-blackmail"
"26135","other miscellaneous","intimidation"
"26140","other miscellaneous","kidnapping"
"26141","other miscellaneous","kidnapping"
"26142","other miscellaneous","kidnapping"
"26143","other miscellaneous","kidnapping"
"26144","other miscellaneous","kidnapping"
"26145","larceny theft","larceny theft - other"
"26146","human trafficking, involuntary servitude","human trafficking, involuntary servitude"
"26147","other miscellaneous","kidnapping"
"26148","other miscellaneous","kidnapping"
"26149","other miscellaneous","kidnapping"
"26150","other miscellaneous","other"
"26160","other miscellaneous","other"
"26170","other miscellaneous","other"
"26175","other miscellaneous","other"
"26176","other miscellaneous","other"
"26177","other miscellaneous","other"
"26178","other miscellaneous","other"
"26180","other miscellaneous","other"
"26190","other miscellaneous","other"
